"Site_id","Longitude","Latitude","veg_year","Marsh_Class","Basin"
"CRMS4809",-91.41553,29.65026,2014,"Swamp","Atchafalaya"
"CRMS4900",-91.2594,29.63573,2014,"Swamp","Atchafalaya"
"CRMS4938",-91.32278,29.61395,2014,"Swamp","Atchafalaya"
"CRMS5003",-91.29092,29.62122,2014,"Swamp","Atchafalaya"
"CRMS5035",-91.03966,29.62121,2014,"Swamp","Terrebonne"
"CRMS5116",-90.90878,29.96955,2014,"Swamp","Barataria"
"CRMS5167",-90.77862,30.14367,2014,"Swamp","Pontchartrain"
"CRMS5255",-90.59718,30.19451,2014,"Swamp","Pontchartrain"
"CRMS5267",-90.6023,30.29963,2014,"Swamp","Pontchartrain"
"CRMS5373",-90.63077,30.10068,2014,"Swamp","Pontchartrain"
"CRMS5414",-90.63067,30.15824,2014,"Swamp","Pontchartrain"
"CRMS5452",-90.53218,30.36863,2014,"Swamp","Pontchartrain"
"CRMS5536",-91.12931,29.96961,2014,"Swamp","Terrebonne"
"CRMS5672",-90.84838,29.86795,2014,"Swamp","Barataria"
"CRMS5770",-90.90085,29.7594,2014,"Swamp","Terrebonne"
"CRMS5845",-90.68545,30.18719,2014,"Swamp","Pontchartrain"
"CRMS5992",-91.54136,29.77364,2014,"Swamp","Teche/Vermilion"
"CRMS6008",-91.47873,29.62848,2014,"Swamp","Atchafalaya"
"CRMS6038",-91.35392,29.6067,2014,"Swamp","Atchafalaya"
"CRMS6042",-91.35345,29.63574,2014,"Swamp","Atchafalaya"
"CRMS6088",-89.66222,30.3116,2014,"Swamp","Pontchartrain"
"CRMS6090",-89.6628,30.32511,2014,"Swamp","Pontchartrain"
"CRMS6209",-90.25989,30.37605,2014,"Swamp","Pontchartrain"
"CRMS6299",-90.35142,30.05059,2014,"Brackish","Pontchartrain"
"CRMS6301",-93.40959,29.96036,2014,"Saline","Calcasieu/Sabine"
"CRMS6302",-93.42292,30.03997,2014,"Saline","Calcasieu/Sabine"
"CRMS6303",-90.19157,29.47261,2014,"Intermediate","Barataria"
"CRMS6304",-91.27523,29.42376,2014,"Fresh","Atchafalaya"
"CRMS0002",-89.79173,30.10025,2015,"Brackish","Pontchartrain"
"CRMS0003",-89.25275,30.09937,2015,"Saline","Pontchartrain"
"CRMS0006",-89.97923,30.25993,2015,"Brackish","Pontchartrain"
"CRMS0008",-90.68443,30.23072,2015,"Swamp","Pontchartrain"
"CRMS0030",-90.32942,30.30482,2015,"Intermediate","Pontchartrain"
"CRMS0033",-90.3855,30.27445,2015,"Intermediate","Pontchartrain"
"CRMS0034",-90.3855,30.30348,2015,"Intermediate","Pontchartrain"
"CRMS0035",-89.66476,30.26712,2015,"Swamp","Pontchartrain"
"CRMS0038",-90.6817,30.21616,2015,"Swamp","Pontchartrain"
"CRMS0039",-90.68731,30.10738,2015,"Swamp","Pontchartrain"
"CRMS0046",-90.49934,30.40488,2015,"Swamp","Pontchartrain"
"CRMS0047",-90.53371,30.13298,2015,"Swamp","Pontchartrain"
"CRMS0056",-90.44297,30.12919,2015,"Swamp","Pontchartrain"
"CRMS0058",-90.53726,30.16549,2015,"Swamp","Pontchartrain"
"CRMS0059",-90.53906,30.09295,2015,"Swamp","Pontchartrain"
"CRMS0061",-90.63992,30.22322,2015,"Swamp","Pontchartrain"
"CRMS0063",-90.64094,30.1321,2015,"Swamp","Pontchartrain"
"CRMS0065",-90.811,30.12192,2015,"Swamp","Pontchartrain"
"CRMS0086",-89.63324,30.31791,2015,"Swamp","Pontchartrain"
"CRMS0089",-90.58307,30.13183,2015,"Swamp","Pontchartrain"
"CRMS0090",-90.56128,30.15933,2015,"Swamp","Pontchartrain"
"CRMS0097",-90.65826,30.1582,2015,"Swamp","Pontchartrain"
"CRMS0103",-90.25928,30.3978,2015,"Swamp","Pontchartrain"
"CRMS0108",-89.41592,29.95506,2015,"Saline","Pontchartrain"
"CRMS0114",-89.91673,29.75912,2015,"Intermediate","Breton Sound"
"CRMS0115",-89.91673,29.78089,2015,"Fresh","Breton Sound"
"CRMS0117",-89.91673,29.80992,2015,"Intermediate","Breton Sound"
"CRMS0118",-89.54172,29.37444,2015,"Fresh","Breton Sound"
"CRMS0119",-89.63548,29.47605,2015,"Brackish","Breton Sound"
"CRMS0120",-89.85423,29.84622,2015,"Fresh","Breton Sound"
"CRMS0121",-89.82298,29.69379,2015,"Brackish","Breton Sound"
"CRMS0125",-89.97923,29.76637,2015,"Intermediate","Breton Sound"
"CRMS0128",-89.94798,29.8317,2015,"Fresh","Breton Sound"
"CRMS0129",-89.60422,29.46879,2015,"Saline","Breton Sound"
"CRMS0131",-89.88552,29.69252,2015,"Brackish","Breton Sound"
"CRMS0132",-89.88548,29.66476,2015,"Intermediate","Breton Sound"
"CRMS0135",-89.76048,29.68654,2015,"Brackish","Breton Sound"
"CRMS0136",-89.79173,29.62122,2015,"Brackish","Breton Sound"
"CRMS0139",-89.47922,29.3817,2015,"Fresh","Breton Sound"
"CRMS0146",-89.72923,29.73008,2015,"Intermediate","Breton Sound"
"CRMS0147",-89.60422,29.66476,2015,"Saline","Breton Sound"
"CRMS0148",-89.69798,29.51235,2015,"Brackish","Breton Sound"
"CRMS0153",-89.13546,29.11315,2015,"Intermediate","Mississippi River Delta"
"CRMS0154",-89.19796,29.11315,2015,"Intermediate","Mississippi River Delta"
"CRMS0156",-89.16671,29.16394,2015,"Intermediate","Mississippi River Delta"
"CRMS0157",-89.22921,29.12766,2015,"Intermediate","Mississippi River Delta"
"CRMS0159",-89.19796,29.04056,2015,"Intermediate","Mississippi River Delta"
"CRMS0161",-89.16671,29.29459,2015,"Intermediate","Mississippi River Delta"
"CRMS0162",-89.13546,29.16395,2015,"Intermediate","Mississippi River Delta"
"CRMS0163",-89.41672,29.21476,2015,"Intermediate","Mississippi River Delta"
"CRMS0164",-90.16994,29.19306,2015,"Saline","Barataria"
"CRMS0171",-89.79605,29.32377,2015,"Saline","Barataria"
"CRMS0172",-89.73433,29.31653,2015,"Saline","Barataria"
"CRMS0173",-89.72993,29.4543,2015,"Saline","Barataria"
"CRMS0174",-89.76302,29.3963,2015,"Saline","Barataria"
"CRMS0175",-90.13792,29.2874,2015,"Saline","Barataria"
"CRMS0176",-89.79333,29.41078,2015,"Saline","Barataria"
"CRMS0178",-90.04698,29.28748,2015,"Saline","Barataria"
